Spain, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 24/10/2018
Year    Age        Exposure
1936     52       110616.40
1936     53       111386.82
1936     54       108135.51
1936     55       136774.76
1937     12       260962.49
1937     13       263162.39
1937     14       265842.45
1937     15       259530.55
1937     16       248329.82
1937     17       243584.49
1937     18       217210.07
1937     19       235096.38
1937     20       227458.48
1937     21       225129.79
1937     22       230245.45
1937     23       221241.71
1937     24       232967.58
1937     25       218819.27
1937     26       226965.11
1937     27       219124.17
1937     28       188299.50
1937     29       204702.21
1937     30       195175.84
1937     31       198243.72
1937     32       197983.94
1937     33       190784.80
1937     34       190613.75
1937     35       179910.24
1937     36       200543.73
1937     37       192364.68
1937     38       141435.83
1937     39       151175.55
1937     40       148096.11
1937     41       156853.83
1937     42       156155.91
1937     43       140731.88
1937     44       144289.55
1937     45       138096.82
1937     46       159322.24
1937     47       147065.09
1937     48       114743.79
1937     49       119931.30
1937     50       113910.26
1937     51       123489.04
1937     52       123981.25
1937     53       109640.57
1937     54       109962.78
1937     55       106590.03
1938     12       260463.83
1938     13       261209.98
1938     14       263121.49
1938     15       266891.15
1938     16       260671.51
1938     17       249107.28
1938     18       243914.36
1938     19       216460.69
1938     20       235479.92
1938     21       228676.91
1938     22       226440.38
1938     23       231406.60
1938     24       221522.09
1938     25       232523.13
1938     26       217580.72
1938     27       226773.55
1938     28       218242.19
1938     29       185446.00
1938     30       202197.40
1938     31       192415.36
1938     32       195601.79
1938     33       196002.10
1938     34       189105.00
1938     35       188835.85
1938     36       178738.54
1938     37       200180.99
1938     38       191704.74
1938     39       140619.89
1938     40       149903.14
1938     41       146913.63
1938     42       156588.67
1938     43       155270.69
1938     44       139498.72
1938     45       143169.03
1938     46       136957.31
1938     47       157718.34
1938     48       145441.17
1938     49       113536.38
1938     50       118194.53
1938     51       112349.58
1938     52       121702.43
1938     53       122321.08
1938     54       108574.37
1938     55       108179.16
1939     12       267642.92
1939     13       261130.82
1939     14       261355.77
1939     15       262968.06
1939     16       267888.61
1939     17       261687.84
1939     18       249719.11
1939     19       244194.82
1939     20       215657.95
1939     21       235861.64
1939     22       229870.32
1939     23       227683.12
1939     24       232594.43
1939     25       221822.84
1939     26       232097.95
1939     27       216357.24
1939     28       226584.95
1939     29       217479.65
1939     30       182527.36
1939     31       199736.38
1939     32       189743.49
1939     33       192793.68
1939     34       194063.60
1939     35       187350.74
1939     36       186946.26
1939     37       177620.73
1939     38       199768.81
1939     39       191071.91
1939     40       139584.28
1939     41       148653.57
1939     42       145867.48
1939     43       156156.25
1939     44       154399.47
1939     45       137997.00
1939     46       141996.53
1939     47       136000.13
1939     48       155968.64
1939     49       143764.76
1939     50       111989.59
1939     51       116457.28
1939     52       110991.36
1939     53       119711.26
1939     54       120625.88
1939     55       107192.05
1940     12       274197.96
1940     13       268087.53
1940     14       261761.45
1940     15       261467.51
1940     16       262840.27
1940     17       268863.79
1940     18       262667.43
1940     19       250406.45
1940     20       244551.71
1940     21       214961.95
1940     22       236314.38
1940     23       231077.94
1940     24       229024.45
1940     25       233873.56
1940     26       222196.49
1940     27       231768.95
1940     28       215183.41
1940     29       226510.06
1940     30       216704.13
1940     31       179737.03
1940     32       197439.14
1940     33       186990.33
1940     34       190090.51
1940     35       192129.95
1940     36       185599.05
1940     37       185190.98
1940     38       176519.51
1940     39       199420.55
1940     40       190303.28
1940     41       138672.62
1940     42       147619.53
1940     43       144798.60
1940     44       155871.79
1940     45       153421.37
1940     46       136582.26
1940     47       141095.85
1940     48       135011.19
1940     49       154319.62
1940     50       141956.08
1940     51       110619.42
1940     52       115069.23
1940     53       109527.68
1940     54       117761.99
1940     55       118786.18
1941     12       275888.31
1941     13       273439.31
1941     14       268539.82
1941     15       261544.95
1941     16       261497.32
1941     17       262227.96
1941     18       268837.21
1941     19       261305.56
1941     20       249800.55
1941     21       243515.51
1941     22       213421.54
1941     23       235410.93
1941     24       229813.24
1941     25       227779.05
1941     26       232474.23
1941     27       221101.13
1941     28       229981.40
1941     29       212778.15
1941     30       227126.87
1941     31       213009.92
1941     32       179176.41
1941     33       195818.95
1941     34       184895.22
1941     35       188717.60
1941     36       191239.66
1941     37       183993.55
1941     38       183741.14
1941     39       175439.88
1941     40       198654.02
1941     41       188558.90
1941     42       138435.29
1941     43       146210.86
