"1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006"
"34" 27424 27764 28095 28416 28726 29023 29306 29573 29825 30058 30264 30434 30575 30690 30785 30864 30932 30996 31059 31128 31182 31203 31195 31163 31111 31044 30967 30884 30800 30719 30646 30585 30541 30519 30521 30554 30622 30729 30881 31083 31337 31635 31975 32351 32757 33189 33640 34106 34579 35053 35521 35976 36409 36814 37181 37503 37771 37976 38140 38290 38426 38546 38650 38737 38806 38857 38888 38900 38891 38862 38811 38737 38642 38523 38381 38215 38025
"35" 26983 27325 27664 27997 28321 28634 28933 29215 29477 29716 29929 30115 30277 30419 30543 30652 30751 30841 30927 31012 31079 31108 31107 31078 31028 30961 30881 30795 30706 30619 30539 30470 30418 30386 30380 30404 30463 30562 30705 30900 31143 31432 31761 32126 32520 32940 33380 33834 34296 34760 35219 35666 36094 36494 36860 37182 37453 37665 37841 38009 38167 38315 38451 38574 38681 38773 38847 38902 38937 38950 38941 38907 38848 38763 38650 38508 38337
"36" 26556 26900 27243 27584 27918 28242 28553 28846 29117 29364 29586 29789 29974 30143 30297 30439 30569 30690 30803 30910 30994 31038 31047 31026 30981 30915 30835 30746 30652 30559 30471 30394 30332 30290 30273 30286 30333 30420 30553 30735 30965 31238 31549 31895 32271 32671 33090 33525 33967 34413 34855 35287 35703 36095 36455 36777 37052 37274 37465 37652 37836 38012 38180 38338 38484 38615 38731 38828 38906 38963 38995 39003 38983 38934 38855 38744 38599
"37" 26140 26484 26830 27175 27515 27846 28164 28465 28745 29000 29233 29454 29663 29859 30044 30218 30381 30534 30677 30810 30916 30978 31001 30991 30953 30892 30813 30722 30625 30526 30431 30345 30272 30219 30190 30190 30225 30299 30418 30585 30797 31050 31340 31662 32012 32386 32780 33187 33604 34026 34445 34858 35257 35636 35989 36309 36589 36821 37030 37239 37447 37652 37852 38044 38226 38396 38552 38691 38811 38910 38984 39033 39054 39044 39002 38925 38811
"38" 25730 26073 26420 26766 27108 27443 27765 28073 28360 28623 28870 29109 29341 29565 29780 29986 30181 30367 30540 30702 30833 30915 30955 30958 30929 30874 30798 30708 30608 30505 30403 30309 30227 30163 30122 30109 30130 30190 30295 30446 30639 30869 31133 31428 31749 32093 32456 32833 33220 33613 34006 34395 34774 35138 35482 35798 36082 36327 36554 36785 37018 37250 37480 37705 37922 38129 38323 38501 38662 38802 38918 39008 39069 39099 39095 39054 38975
"39" 25322 25664 26010 26354 26696 27031 27355 27667 27960 28233 28493 28751 29006 29256 29500 29737 29964 30181 30385 30575 30731 30835 30893 30911 30893 30846 30776 30688 30588 30482 30376 30276 30186 30112 30060 30035 30043 30090 30180 30315 30486 30693 30930 31195 31486 31797 32127 32471 32826 33188 33553 33916 34274 34621 34953 35265 35552 35809 36054 36306 36562 36821 37080 37335 37585 37826 38056 38272 38471 38650 38806 38935 39036 39105 39139 39135 39091
"40" 24913 25254 25596 25938 26276 26609 26933 27246 27545 27827 28102 28379 28655 28930 29202 29467 29723 29969 30202 30419 30599 30725 30802 30835 30830 30793 30730 30647 30550 30444 30336 30232 30136 30056 29995 29960 29957 29991 30068 30186 30337 30520 30730 30966 31225 31504 31801 32112 32434 32764 33100 33437 33772 34101 34422 34728 35018 35286 35547 35818 36096 36379 36664 36947 37227 37501 37764 38015 38250 38465 38658 38826 38964 39070 39141 39172 39163
"41" 24500 24839 25177 25514 25847 26175 26497 26811 27114 27406 27695 27990 28287 28585 28880 29171 29454 29725 29983 30224 30426 30572 30666 30715 30724 30699 30646 30570 30478 30377 30270 30166 30068 29984 29918 29876 29865 29888 29953 30056 30189 30349 30534 30742 30972 31220 31484 31763 32054 32354 32661 32973 33286 33597 33905 34205 34495 34772 35047 35335 35633 35937 36245 36554 36862 37165 37459 37742 38009 38259 38486 38688 38861 39001 39105 39169 39191
"42" 24079 24415 24749 25079 25406 25728 26046 26360 26667 26969 27272 27583 27899 28217 28534 28846 29150 29443 29721 29981 30200 30362 30473 30537 30560 30548 30507 30442 30360 30265 30165 30065 29970 29887 29820 29776 29759 29776 29832 29922 30039 30179 30342 30526 30729 30949 31185 31434 31697 31969 32250 32538 32830 33125 33420 33713 34002 34284 34570 34872 35185 35508 35837 36169 36501 36830 37152 37463 37761 38041 38299 38532 38735 38905 39038 39130 39177
"43" 23649 23982 24310 24633 24952 25268 25581 25892 26203 26514 26831 27157 27489 27824 28158 28488 28809 29117 29409 29680 29909 30084 30208 30286 30324 30327 30300 30249 30180 30098 30009 29919 29832 29755 29693 29651 29634 29648 29698 29780 29885 30010 30155 30319 30500 30697 30909 31134 31372 31621 31879 32146 32420 32699 32982 33267 33552 33836 34130 34441 34766 35104 35450 35802 36156 36508 36854 37191 37515 37822 38107 38367 38596 38791 38946 39059 39125
"44" 23205 23535 23857 24172 24483 24791 25099 25409 25722 26041 26371 26710 27056 27404 27751 28093 28424 28741 29039 29313 29546 29727 29860 29950 30002 30020 30010 29977 29925 29861 29789 29715 29643 29579 29527 29494 29483 29499 29549 29627 29724 29839 29973 30122 30288 30468 30663 30870 31089 31320 31561 31811 32069 32334 32605 32881 33161 33443 33738 34054 34388 34737 35098 35466 35837 36209 36577 36937 37283 37613 37920 38201 38451 38664 38835 38961 39035
"45" 22747 23073 23388 23696 23999 24299 24601 24908 25224 25551 25892 26242 26598 26957 27313 27663 28001 28324 28626 28902 29139 29328 29473 29579 29648 29687 29699 29688 29660 29620 29571 29519 29469 29424 29389 29370 29370 29394 29447 29524 29617 29725 29848 29984 30135 30298 30473 30661 30860 31069 31289 31519 31757 32004 32259 32522 32791 33066 33357 33673 34010 34366 34735 35115 35500 35888 36273 36651 37017 37366 37693 37993 38261 38490 38676 38813 38896
"46" 22272 22594 22903 23203 23497 23790 24087 24391 24708 25042 25393 25752 26116 26482 26845 27202 27548 27879 28189 28474 28723 28928 29093 29222 29317 29383 29423 29443 29445 29435 29415 29391 29367 29346 29333 29332 29347 29382 29442 29521 29609 29708 29816 29934 30063 30201 30350 30508 30677 30856 31044 31244 31453 31673 31904 32145 32397 32660 32943 33254 33590 33947 34320 34706 35100 35499 35896 36289 36671 37037 37383 37701 37988 38236 38440 38595 38695
"47" 21778 22096 22399 22691 22978 23265 23556 23857 24175 24515 24873 25239 25610 25981 26350 26713 27067 27406 27728 28027 28294 28521 28711 28869 28995 29094 29169 29224 29261 29286 29300 29309 29315 29322 29335 29356 29389 29438 29507 29589 29673 29761 29852 29948 30050 30158 30273 30396 30527 30668 30819 30980 31154 31340 31540 31755 31985 32232 32504 32807 33137 33490 33863 34250 34649 35053 35460 35863 36257 36638 36999 37335 37641 37909 38134 38311 38432
"48" 21265 21578 21875 22161 22441 22721 23008 23307 23625 23970 24334 24705 25079 25455 25828 26197 26558 26908 27242 27559 27847 28100 28320 28509 28671 28807 28921 29014 29091 29154 29207 29251 29292 29331 29371 29417 29471 29537 29618 29703 29783 29858 29931 30003 30075 30148 30226 30308 30397 30495 30603 30722 30855 31004 31170 31354 31560 31789 32048 32340 32661 33007 33375 33760 34158 34565 34975 35385 35788 36180 36555 36907 37230 37518 37766 37966 38113
"49" 20730 21038 21330 21610 21885 22160 22443 22740 23059 23407 23775 24149 24526 24904 25282 25656 26024 26383 26732 27067 27378 27659 27910 28135 28334 28509 28664 28799 28918 29022 29115 29199 29276 29348 29420 29493 29570 29653 29746 29837 29912 29975 30028 30074 30114 30151 30189 30229 30274 30326 30389 30464 30555 30664 30794 30947 31127 31337 31582 31860 32170 32507 32867 33246 33640 34045 34456 34868 35276 35676 36061 36426 36765 37072 37341 37565 37739
"50" 20174 20477 20764 21040 21310 21582 21862 22158 22477 22826 23197 23573 23951 24331 24712 25090 25465 25835 26198 26550 26885 27193 27476 27735 27972 28188 28384 28562 28724 28871 29006 29130 29245 29353 29457 29559 29659 29762 29868 29963 30035 30085 30118 30138 30146 30147 30145 30143 30144 30151 30169 30201 30250 30319 30414 30536 30691 30882 31111 31376 31673 31998 32347 32718 33105 33504 33912 34323 34733 35137 35529 35903 36255 36578 36866 37113 37314
"51" 19596 19894 20177 20449 20717 20987 21266 21561 21879 22229 22600 22976 23355 23737 24120 24503 24885 25264 25639 26008 26363 26697 27010 27303 27576 27831 28068 28288 28493 28683 28860 29025 29179 29323 29460 29590 29715 29836 29955 30055 30123 30162 30176 30171 30149 30116 30077 30034 29994 29959 29935 29926 29936 29970 30031 30125 30256 30429 30644 30894 31177 31490 31827 32187 32564 32955 33356 33763 34171 34574 34969 35349 35710 36045 36349 36617 36841
"52" 18996 19289 19568 19838 20106 20376 20655 20950 21268 21616 21985 22359 22739 23122 23508 23896 24284 24672 25057 25439 25811 26167 26506 26829 27136 27428 27703 27964 28210 28442 28659 28864 29056 29236 29404 29562 29711 29850 29980 30085 30150 30178 30176 30149 30101 30038 29966 29889 29812 29741 29681 29636 29612 29614 29647 29716 29826 29983 30184 30422 30691 30990 31314 31661 32027 32407 32799 33198 33599 33999 34392 34773 35138 35481 35797 36079 36324
"53" 18374 18662 18939 19209 19477 19749 20029 20325 20642 20987 21352 21725 22104 22489 22879 23271 23665 24059 24453 24843 25226 25598 25959 26308 26644 26968 27278 27576 27860 28130 28386 28628 28856 29069 29268 29453 29622 29778 29918 30027 30088 30109 30093 30049 29980 29894 29795 29691 29586 29486 29397 29325 29275 29252 29262 29311 29405 29549 29739 29964 30221 30506 30817 31150 31502 31870 32249 32637 33028 33420 33807 34184 34549 34894 35215 35507 35765
"54" 17732 18014 18289 18560 18832 19107 19391 19689 20005 20344 20704 21074 21453 21840 22233 22630 23029 23429 23826 24220 24607 24989 25365 25732 26092 26442 26782 27112 27429 27733 28024 28299 28560 28803 29029 29237 29426 29594 29742 29852 29912 29927 29903 29847 29765 29664 29549 29427 29304 29186 29079 28989 28922 28883 28879 28915 28997 29132 29314 29529 29774 30046 30343 30662 30999 31352 31717 32090 32468 32847 33223 33592 33949 34290 34611 34905 35170
"55" 17070 17347 17621 17895 18171 18452 18741 19041 19356 19689 20040 20407 20786 21175 21573 21975 22379 22781 23179 23569 23953 24337 24719 25098 25474 25844 26206 26561 26905 27238 27557 27862 28149 28419 28668 28895 29099 29277 29428 29538 29596 29609 29582 29523 29437 29331 29211 29083 28955 28832 28719 28623 28551 28507 28497 28528 28606 28737 28913 29120 29355 29616 29900 30204 30526 30862 31210 31566 31927 32289 32650 33004 33348 33678 33990 34279 34540
"56" 16450 16721 16995 17271 17551 17838 18131 18434 18747 19073 19416 19777 20154 20543 20942 21345 21751 22154 22549 22933 23312 23694 24080 24467 24853 25237 25616 25990 26356 26711 27054 27383 27694 27986 28256 28503 28722 28913 29072 29188 29251 29269 29247 29191 29109 29006 28889 28764 28638 28516 28404 28309 28236 28192 28181 28210 28285 28413 28585 28785 29012 29262 29534 29825 30133 30454 30786 31126 31470 31817 32162 32501 32833 33151 33453 33735 33993
"57" 15916 16182 16453 16730 17013 17303 17599 17903 18215 18535 18869 19223 19592 19975 20368 20767 21168 21567 21959 22340 22717 23101 23491 23884 24279 24674 25067 25456 25839 26214 26577 26926 27260 27574 27867 28135 28376 28587 28766 28898 28977 29009 28999 28954 28881 28786 28675 28554 28431 28311 28200 28105 28031 27984 27970 27996 28067 28189 28355 28547 28765 29006 29267 29547 29842 30150 30470 30797 31130 31465 31800 32130 32454 32766 33064 33345 33603
"58" 15448 15707 15974 16251 16535 16827 17125 17429 17739 18053 18379 18722 19081 19452 19832 20220 20611 21002 21389 21768 22146 22533 22927 23326 23729 24133 24537 24938 25335 25725 26105 26473 26827 27163 27478 27771 28037 28275 28480 28639 28742 28795 28804 28775 28715 28631 28529 28416 28297 28180 28071 27976 27900 27850 27833 27853 27919 28035 28192 28377 28585 28816 29067 29336 29620 29918 30227 30544 30868 31194 31522 31846 32165 32475 32773 33056 33319
"59" 15025 15277 15541 15815 16099 16391 16690 16994 17301 17610 17927 18258 18601 18955 19317 19688 20063 20442 20821 21199 21580 21971 22368 22772 23181 23592 24004 24415 24823 25225 25620 26005 26377 26733 27072 27390 27684 27951 28189 28380 28513 28592 28624 28617 28575 28505 28415 28312 28201 28089 27982 27888 27811 27759 27738 27753 27812 27920 28069 28244 28443 28663 28904 29162 29436 29723 30023 30331 30646 30966 31287 31607 31923 32233 32533 32820 33091
"60" 14632 14877 15136 15407 15689 15980 16278 16580 16885 17189 17497 17812 18136 18468 18808 19155 19510 19872 20241 20617 21001 21394 21795 22202 22615 23032 23450 23868 24285 24698 25106 25505 25894 26269 26630 26973 27295 27594 27867 28093 28258 28368 28428 28444 28423 28372 28298 28207 28106 28001 27900 27808 27733 27679 27655 27665 27717 27817 27957 28122 28310 28519 28748 28995 29258 29535 29824 30123 30429 30741 31057 31373 31687 31996 32299 32591 32870
"61" 14253 14490 14743 15011 15290 15579 15874 16174 16475 16775 17072 17371 17672 17977 18289 18608 18937 19278 19633 20005 20391 20786 21189 21599 22015 22435 22858 23282 23706 24128 24545 24957 25361 25755 26136 26502 26852 27181 27488 27751 27950 28091 28180 28223 28227 28197 28141 28066 27978 27884 27791 27705 27633 27580 27554 27560 27606 27698 27828 27982 28159 28356 28573 28807 29057 29322 29599 29887 30183 30486 30794 31104 31415 31723 32027 32324 32612
"62" 13875 14104 14351 14613 14888 15174 15466 15763 16060 16354 16641 16920 17195 17470 17749 18035 18334 18649 18987 19352 19738 20133 20537 20947 21364 21786 22212 22641 23070 23499 23926 24349 24766 25175 25575 25962 26336 26693 27032 27327 27558 27731 27850 27921 27950 27945 27911 27855 27784 27705 27623 27546 27480 27431 27405 27410 27451 27536 27655 27798 27962 28146 28349 28569 28804 29054 29317 29590 29874 30165 30462 30764 31068 31373 31676 31976 32269
"63" 13485 13706 13946 14202 14472 14753 15041 15333 15626 15915 16190 16448 16694 16935 17177 17426 17690 17976 18292 18648 19031 19423 19825 20234 20651 21074 21501 21933 22367 22801 23235 23667 24096 24518 24933 25338 25732 26112 26476 26799 27058 27259 27407 27506 27563 27583 27574 27541 27491 27429 27364 27300 27244 27202 27181 27187 27225 27303 27413 27544 27695 27864 28051 28254 28471 28703 28948 29204 29470 29745 30028 30317 30610 30907 31206 31504 31801
"64" 13074 13286 13518 13767 14031 14306 14589 14876 15163 15446 15708 15943 16158 16362 16564 16773 16998 17251 17542 17883 18260 18647 19044 19450 19865 20287 20715 21148 21585 22025 22465 22904 23342 23774 24201 24619 25028 25423 25804 26145 26427 26652 26825 26951 27035 27083 27100 27093 27067 27029 26983 26937 26897 26867 26854 26863 26902 26975 27076 27196 27332 27485 27653 27836 28032 28242 28464 28698 28942 29196 29459 29730 30007 30291 30580 30873 31168
"65" 12632 12834 13057 13299 13556 13825 14102 14382 14663 14938 15187 15397 15579 15744 15903 16069 16253 16469 16732 17055 17420 17798 18188 18588 18999 19419 19846 20281 20720 21163 21608 22053 22497 22937 23371 23797 24212 24614 25001 25351 25645 25888 26082 26232 26342 26418 26464 26485 26487 26476 26456 26433 26412 26399 26398 26416 26458 26528 26622 26730 26851 26986 27133 27293 27464 27648 27843 28048 28265 28492 28728 28975 29231 29495 29768 30049 30338
"66" 12151 12343 12557 12791 13040 13302 13571 13845 14118 14385 14619 14803 14951 15076 15191 15312 15453 15630 15860 16160 16509 16874 17254 17646 18051 18467 18893 19327 19768 20213 20662 21111 21558 22002 22438 22865 23280 23679 24059 24404 24701 24953 25162 25331 25466 25568 25644 25696 25730 25749 25759 25764 25769 25777 25794 25824 25873 25943 26031 26128 26234 26348 26472 26605 26748 26900 27063 27235 27418 27611 27816 28031 28258 28496 28747 29010 29285
